date,player,time_seconds,time_formatted,run_link,video_link
2022-06-17,1xygz7wx,4128.0,1:08:48,http://www.speedrun.com/eldenring/run/z1plwkrz,https://www.twitch.tv/videos/1505769878
2022-06-21,1xygz7wx,4065.0,1:07:45,http://www.speedrun.com/eldenring/run/yjpwv17y,https://www.twitch.tv/videos/1509433150
2022-06-23,x33w5nqx,4059.0,1:07:39,http://www.speedrun.com/eldenring/run/yddnw1vy,https://www.twitch.tv/videos/1511885208
2022-06-25,1xygz7wx,3979.0,1:06:19,http://www.speedrun.com/eldenring/run/z0pd009y,https://www.youtube.com/watch?v=7vYcuM--L3g
2022-07-02,68wq1z8g,3908.0,1:05:08,http://www.speedrun.com/eldenring/run/yvrn096z,https://youtu.be/Dgetv7usduQ
2022-07-04,68wq1z8g,3880.0,1:04:40,http://www.speedrun.com/eldenring/run/yddvp2jy,https://youtu.be/Ss1SebRamrw
2022-07-05,68wq1z8g,3855.0,1:04:15,http://www.speedrun.com/eldenring/run/zq7p13xm,https://youtu.be/s4mqVuWMr2c
2022-07-06,68wq1z8g,3804.0,1:03:24,http://www.speedrun.com/eldenring/run/zp9ogdxm,https://youtu.be/8mmYPyYRZ4s
2022-07-12,68wq1z8g,3793.0,1:03:13,http://www.speedrun.com/eldenring/run/z1p7v1rz,https://youtu.be/jWcrKUr7_CY
2022-07-14,68wq1z8g,3782.0,1:03:02,http://www.speedrun.com/eldenring/run/mr7wn24z,https://youtu.be/2g7M9No2egU
2022-07-20,68wq1z8g,3711.0,1:01:51,http://www.speedrun.com/eldenring/run/mkknxv1m,https://youtu.be/nrqMpyPCWnk
2022-08-02,68wq1z8g,3649.0,1:00:49,http://www.speedrun.com/eldenring/run/yw61jk2m,https://youtu.be/3iDfyM9rs44
2022-08-05,68wq1z8g,3620.0,1:00:20,http://www.speedrun.com/eldenring/run/mkd95e5y,https://youtu.be/mQbA2TVPNB4
2022-08-23,68wq1z8g,3611.0,1:00:11,http://www.speedrun.com/eldenring/run/m3xrd3dm,https://youtu.be/3zMjefwST2U
2022-08-27,68wq1z8g,3602.0,1:00:02,http://www.speedrun.com/eldenring/run/me14vnqy,https://www.youtube.com/watch?v=mD9JDz6IvuY
2022-08-31,jpop7wy8,3581.0,0:59:41,http://www.speedrun.com/eldenring/run/yd1w34qy,https://youtu.be/OMRyqJ0dwaM
2022-09-07,68wq1z8g,3566.0,0:59:26,http://www.speedrun.com/eldenring/run/m7x641ey,https://youtu.be/O3z3DC8bVQQ
2022-09-14,jpop7wy8,3561.0,0:59:21,http://www.speedrun.com/eldenring/run/me1eogqy,https://youtu.be/SL7QWA510FI
2022-09-17,68wq1z8g,3551.0,0:59:11,http://www.speedrun.com/eldenring/run/yjd8w2gy,https://youtu.be/MIE1U8tvDbk
2022-10-07,68wq1z8g,3522.0,0:58:42,http://www.speedrun.com/eldenring/run/z0lqlw8z,https://youtu.be/gcTu-ELk2JI
2023-03-01,18qqo08n,3515.0,0:58:35,http://www.speedrun.com/eldenring/run/znj2j4lm,https://www.youtube.com/watch?v=AqjP0f9BtMY
2023-03-02,68wq1z8g,3492.0,0:58:12,http://www.speedrun.com/eldenring/run/ywvg2g0z,https://youtu.be/cM4OFPo-fRs
2023-03-05,86nr4p5x,3481.0,0:58:01,http://www.speedrun.com/eldenring/run/z5egrqez,https://www.youtube.com/watch?v=X4mrfpr54qU
2023-03-13,86nr4p5x,3435.0,0:57:15,http://www.speedrun.com/eldenring/run/m3lvg94m,https://www.youtube.com/watch?v=UqH8OsGfm_M
2023-03-20,18qqo08n,3415.0,0:56:55,http://www.speedrun.com/eldenring/run/y6ojww6y,https://www.youtube.com/watch?v=_PeBYM3FLFc&lc=UgyHmRvKd9deDght2lR4AaABAg
2023-03-29,68wq1z8g,3410.0,0:56:50,http://www.speedrun.com/eldenring/run/z5enrxjz,https://youtu.be/91GpcVrmXuQ
2023-04-02,86nr4p5x,3387.0,0:56:27,http://www.speedrun.com/eldenring/run/z1q0407y,https://www.youtube.com/watch?v=Dx7Aa4q57vc
2023-06-10,j239p5lx,3370.0,0:56:10,http://www.speedrun.com/eldenring/run/ydjr2xjy,https://youtu.be/kU3obCybsY4
2023-06-21,j239p5lx,3361.0,0:56:01,http://www.speedrun.com/eldenring/run/yonrr50z,https://youtu.be/CHxooE-w8H0
2023-07-02,68wq1z8g,3348.0,0:55:48,http://www.speedrun.com/eldenring/run/znvq24vm,https://youtu.be/ku8W2qel_z4
2023-07-19,68wq1z8g,3342.0,0:55:42,http://www.speedrun.com/eldenring/run/zx3qo2qz,https://youtu.be/pwsXeIJfwFI
2023-08-29,68wq1z8g,3334.0,0:55:34,http://www.speedrun.com/eldenring/run/y62k3k6z,https://youtu.be/YTmVtTZtV1Y
2023-09-13,68wq1z8g,3318.0,0:55:18,http://www.speedrun.com/eldenring/run/y8kqvk5y,https://youtu.be/4CqgVVaIFBY
2023-09-14,68wq1z8g,3316.0,0:55:16,http://www.speedrun.com/eldenring/run/zqd6q59m,https://youtu.be/c03pc1adDtI
2023-11-19,68wq1z8g,3301.0,0:55:01,http://www.speedrun.com/eldenring/run/yoop8l1y,https://youtu.be/3CWBf5IJN1w
2024-05-07,68wq1z8g,3294.0,0:54:54,http://www.speedrun.com/eldenring/run/y22kvd6y,https://youtu.be/OBat2hDE-oI
2024-05-10,68wq1z8g,3280.0,0:54:40,http://www.speedrun.com/eldenring/run/y22k826y,https://youtu.be/UJgqSEtVIUg
2024-11-23,xk1lq12j,3237.0,0:53:57,http://www.speedrun.com/eldenring/run/y9d4vlem,https://www.bilibili.com/video/BV1ZNBBYBEEn
2025-03-22,xk1lq12j,3175.0,0:52:55,http://www.speedrun.com/eldenring/run/zn95038y,https://www.bilibili.com/video/BV1ooXWYiEr2
